category_en,mean_False,mean_True,count_False,count_True,score_drop
musical_instruments,4.451553930530165,2.185185185185185,547.0,54.0,2.2663687453449795
audio,4.124579124579125,1.9772727272727273,297.0,44.0,2.147306397306397
toys,4.385323741007194,2.391941391941392,3475.0,273.0,1.993382349065802
baby,4.301606425702811,2.3346613545816735,2490.0,251.0,1.9669450711211378
stationery,4.453663270257157,2.5491329479768785,2061.0,173.0,1.9045303222802783
sports_leisure,4.380148450007277,2.4782608695652173,6871.0,575.0,1.9018875804420596
fashion_bags_accessories,4.36660724896019,2.4789915966386555,1683.0,119.0,1.8876156523215348
cool_stuff,4.353535353535354,2.476595744680851,3267.0,235.0,1.876939608854503
watches_gifts,4.283071974266184,2.4210526315789473,4974.0,456.0,1.8620193426872365
perfumery,4.402537892139584,2.5575221238938055,2837.0,226.0,1.8450157682457786
unknown,4.186027619821283,2.3949579831932772,1231.0,119.0,1.7910696366280061
furniture_living_room,4.2398921832884096,2.4545454545454546,371.0,33.0,1.785346728742955
pet_shop,4.388535031847134,2.644230769230769,1570.0,104.0,1.7443042626163647
health_beauty,4.388597053171044,2.655217965653897,7805.0,757.0,1.7333790875171475
garden_tools,4.33152,2.6037037037037036,3125.0,270.0,1.7278162962962966
auto,4.297015357867285,2.5913312693498454,3451.0,323.0,1.7056840885174398
construction_tools_construction,4.28419452887538,2.6,658.0,65.0,1.6841945288753801
computers_accessories,4.209839357429719,2.5557809330628802,5976.0,493.0,1.654058424366839
furniture_decor,4.211729270021261,2.5621414913957934,5644.0,523.0,1.649587778625468
bed_bath_table,4.153307580878803,2.510152284263959,8284.0,788.0,1.6431552966148435
consoles_games,4.315675675675676,2.675,925.0,80.0,1.6406756756756762
small_appliances,4.365248226950355,2.72972972972973,564.0,37.0,1.635518497220625
housewares,4.314090391188758,2.704370179948586,5266.0,389.0,1.6097202112401718
home_confort,4.069696969696969,2.5,330.0,38.0,1.5696969696969694
electronics,4.2790905037895675,2.7510204081632654,2243.0,245.0,1.528070095626302
books_general_interest,4.641758241758242,3.121212121212121,455.0,33.0,1.520546120546121
luggage_accessories,4.461052631578947,2.9444444444444446,950.0,54.0,1.5166081871345023
construction_tools_lights,4.352657004830918,2.857142857142857,207.0,21.0,1.4955141476880605
telephony,4.182578209277239,2.691860465116279,3708.0,344.0,1.4907177441609596
home_appliances,4.315561959654179,2.9,694.0,50.0,1.415561959654179
home_construction,4.161971830985915,2.8421052631578947,426.0,38.0,1.3198665678280204
food,4.445876288659794,3.2325581395348837,388.0,43.0,1.2133181491249103
office_furniture,3.758896797153025,2.5625,1124.0,112.0,1.196396797153025
books_technical,4.5265486725663715,3.607142857142857,226.0,28.0,0.9194058154235143
